="IBES Statistics"
="",="(1)",=""
="",="mean",="sd"
="rank_lag_accuracy",="0.61",="0.33"
="rank_earn_persist",="0.47",="0.39"
="rank_cf_persist",="0.47",="0.39"
="rank_exp",="0.89",="0.22"
="actual_agree",="0.54",="0.33"
="rank_media",="0.60",="0.47"
="rank_following",="0.85",="0.24"
="rank_avg_quality",="0.76",="0.29"
