="FSET Statistics"
="",="(1)",=""
="",="mean",="sd"
="rank_lag_accuracy",="0.49",="0.37"
="rank_earn_persist",="0.43",="0.40"
="rank_cf_persist",="0.44",="0.40"
="rank_exp",="0.40",="0.39"
="actual_agree",="0.51",="0.34"
="rank_media",="0.60",="0.47"
="rank_following",="0.67",="0.36"
="rank_avg_quality",="0.44",="0.36"
