="CIQ Statistics"
="",="(1)",=""
="",="mean",="sd"
="rank_lag_accuracy",="0.60",="0.34"
="rank_earn_persist",="0.48",="0.39"
="rank_cf_persist",="0.48",="0.39"
="rank_exp",="0.51",="0.34"
="actual_agree",="0.53",="0.33"
="rank_media",="0.58",="0.46"
="rank_following",="0.66",="0.35"
="rank_avg_quality",="0.54",="0.33"
